,attribute,given_attribute_type,best_attribute_type,rec_count,fill_count,fill_rate,cardinality,modes,,min_length,max_length,ave_length,,popular_patterns,,,rare_patterns,,__fileposition__
,,,,,,,,value,rec_count,,,,data_pattern,rec_count,example,data_pattern,rec_count,example,
1,transactionid,string,unsigned4,590540,590540,100,590540,,,7,7,7,9999999,590540,2987000,,,,0
2,isfraud,string,unsigned1,590540,590540,100,2,0,569877,1,1,1,9,590540,0,,,,293
3,transactiondt,string,unsigned4,590540,590540,100,573349,9474817,8,5,8,7,9999999,356622,1000004,,,,688
,,,,,,,,,,,,,99999999,193675,10000002,,,,
,,,,,,,,,,,,,999999,39538,100000,,,,
,,,,,,,,,,,,,99999,705,86400,,,,
4,transactionamt,string,real8,590540,590540,100,20902,59,30582,3,9,4,99.9,173254,10,,,,1725
,,,,,,,,,,,,,999.9,151375,100,,,,
,,,,,,,,,,,,,99.99,116301,10.03,,,,
,,,,,,,,,,,,,999.99,78864,100.01,,,,
,,,,,,,,,,,,,99.999,51907,10.021,,,,
,,,,,,,,,,,,,9.999,5560,0.251,,,,
,,,,,,,,,,,,,9999.99,4919,1000.11,,,,
,,,,,,,,,,,,,999.999,4464,100.043,,,,
,,,,,,,,,,,,,9999.9,2659,1000,,,,
,,,,,,,,,,,,,9.9,662,1,,,,
,,,,,,,,,,,,,9.99,573,0.35,,,,
,,,,,,,,,,,,,99999.999,2,31937.391,,,,
5,productcd,string,string1,590540,590540,100,5,W                                                                                                   ,439670,1,1,1,A                                                                                                   ,590540,C                                                                                                   ,,,,4455
6,card1,string,unsigned3,590540,590540,100,13553,7919,14932,4,5,4,9999,303215,1000,,,,4850
,,,,,,,,,,,,,99999,287325,10000,,,,
7,card2,string,real4,590540,581607,98.487317,500,321,48935,5,5,5,999.9,581607,100,,,,5455
8,card3,string,real4,590540,588975,99.734988,114,150,521287,5,5,5,999.9,588975,100,,,,5844
9,card4,string,string16,590540,588963,99.732956,4,visa                                                                                                ,384767,4,16,6,aaaa                                                                                                ,384767,visa                                                                                                ,,,,6233
