Att 1,Att 2,Correlation
V338,V338,1
D4,D12,0.999999444
V95,V322,0.999949032
V323,V96,0.999947983
V97,V324,0.999947112
V322,V101,0.99969777
V279,V322,0.99962419
V101,V95,0.999594289
V293,V279,0.999568198
C12,C7,0.999488825
V324,V280,0.999463595
V322,V293,0.999403307
V167,V177,0.999364082
V103,V324,0.999257952
V329,V105,0.999100766
V293,V101,0.998918896
V102,V323,0.998828286
V324,V295,0.998827032
V97,V103,0.998788603
V279,V95,0.998710101
V295,V280,0.998623374
V323,V294,0.998591917
V95,V293,0.998474991
V279,V101,0.998453517
TransactionDT,TransactionID,0.998280224
V211,V177,0.998119811
V330,V106,0.998002452
V322,V132,0.997983693
V211,V167,0.997784035
V323,V133,0.997650956
V322,V316,0.997477165
V134,V324,0.997302644
V132,V316,0.997222271
V102,V96,0.997104229
V317,V323,0.997066023
C10,C8,0.996969949
V318,V324,0.996688796
V127,V332,0.996654671
V143,V164,0.996551296
V307,V332,0.996515311
C1,C11,0.996514733
V333,V128,0.996275452
V269,V266,0.996096644
V179,V213,0.996031443
V332,V133,0.996004245
V217,V231,0.995970144
V213,V168,0.995785183
V332,V317,0.995765193
V134,V103,0.995734942
V101,V132,0.995637228
V133,V102,0.99561525
V329,V298,0.99552373
V132,V95,0.995258171
V331,V126,0.995099362
C2,C1,0.995089459
V308,V333,0.995064163
V168,V179,0.995004749
V332,V323,0.994989777
V96,V332,0.99488051
V332,V102,0.99483668
V294,V332,0.994632564
V132,V293,0.994567328
V232,V233,0.994495892
V134,V323,0.994398779
V132,V279,0.994182133
V134,V97,0.994022134
V323,V318,0.993913694
C2,C11,0.993897802
V103,V323,0.993857605
V316,V293,0.99384139
V323,V307,0.993700985
V323,V127,0.993635146
V295,V323,0.993571236
V306,V331,0.993540139
V316,V279,0.993525701
V134,V333,0.993521197
V316,V211,0.993172616
V316,V101,0.993151767
V333,V318,0.993121197
V132,V211,0.993064498
V299,V330,0.992977093
V179,V178,0.992829401
V323,V280,0.992797682
V293,V177,0.992764771
V177,V101,0.992760304
V323,V97,0.992745485
V178,V213,0.99274083
V332,V333,0.992737884
V316,V95,0.992727947
V323,V324,0.992719584
V324,V96,0.992663347
V164,V316,0.992584007
V132,V177,0.99256803
V132,V164,0.992537723
V177,V316,0.992385132
V322,V177,0.992380425
V96,V133,0.992325791
V133,V127,0.992261108
V322,V167,0.992216336
V279,V177,0.992181741
V134,V318,0.992171617
V167,V293,0.992068322
V101,V167,0.992058215
V164,V101,0.991995983
V177,V95,0.991957433
V167,V279,0.991923805
V295,V318,0.991884492
V167,V132,0.991856092
V126,V306,0.99185106
V293,V164,0.99181121
V332,V134,0.991787812
V307,V317,0.991722683
V322,V164,0.991704878
V95,V167,0.9916993
V167,V316,0.99168186
V296,V298,0.991665776
V95,V164,0.991653768
V279,V164,0.991579539
V318,V332,0.991523556
V231,V233,0.991521729
V103,V102,0.991515548
V18,V17,0.991473941
V128,V134,0.991355363
V324,V333,0.991332682
V296,V329,0.991242812
V97,V333,0.991176223
V133,V134,0.991130575
V101,V211,0.991129885
C11,C6,0.991104834
V333,V103,0.991083069
V211,V293,0.991040248
V280,V333,0.990866111
V96,V97,0.990796575
V308,V318,0.990722481
V333,V295,0.990713278
V96,V103,0.990676447
V128,V324,0.990658732
V318,V280,0.990647737
V276,V214,0.990599625
V219,V232,0.990591158
V279,V211,0.990508706
V182,V180,0.990447546
V322,V211,0.990415846
V132,V331,0.990388745
V211,V202,0.990387247
V211,V95,0.990332455
V324,V308,0.990241634
V331,V316,0.990086403
V332,V128,0.989909717
V101,V143,0.989884497
V102,V134,0.9897638
V233,V217,0.98966859
V178,V133,0.98966084
V143,V293,0.989615618
V324,V102,0.98957185
V178,V102,0.989562964
V95,V143,0.989535769
V322,V143,0.989483202
V308,V332,0.989445087
V143,V279,0.989293646
V324,V294,0.989226073
V168,V178,0.989183005
V97,V280,0.989151971
V333,V127,0.989048128
V128,V127,0.988974269
V202,V167,0.988960345
V326,V99,0.988773009
V128,V308,0.988756459
V179,V134,0.988626966
V202,V306,0.988554062
V97,V102,0.988533437
V233,V219,0.988440336
V295,V103,0.988363635
V126,V132,0.988348333
V307,V333,0.988320102
V134,V96,0.98827265
V280,V103,0.988225748
V179,V103,0.988141354
V103,V332,0.988105645
V132,V143,0.988088011
V96,V127,0.987874304
V332,V295,0.987864079
V179,V318,0.987792678
V323,V178,0.987788341
V306,V316,0.987766518
V104,V328,0.987711379
V318,V103,0.987634262
V143,V316,0.987616378
V96,V178,0.987503624
V164,V211,0.987483001
V177,V202,0.9873517
V211,V331,0.987236865
V212,V178,0.987226748
V97,V295,0.987068618
V100,V327,0.987016041
V331,V202,0.98699538
V179,V295,0.986943322
V324,V133,0.986908993
V16,V15,0.98672661
V332,V178,0.986662831
V126,V211,0.986599787
V127,V102,0.986569658
V322,V331,0.986562698
V177,V164,0.986546654
V280,V332,0.986531398
D7,D5,0.986495963
V153,V154,0.986471479
V332,V324,0.986413826
V333,V323,0.986370709
V97,V332,0.98636369
V126,V322,0.986342266
V331,V95,0.986338626
V179,V324,0.986335486
V306,V322,0.986306753
V179,V323,0.98625376
V96,V333,0.986245812
V317,V324,0.986234622
V128,V97,0.986233797
V177,V331,0.986217153
V31,V32,0.98620103
V167,V331,0.986191287
V331,V279,0.98615914
V102,V179,0.985988376
V101,V331,0.985970664
V179,V97,0.985938035
V323,V308,0.985851979
V318,V97,0.985836329
V179,V96,0.985831403
V128,V323,0.985817217
V167,V164,0.985778454
V331,V293,0.985735241
V126,V177,0.985724302
V126,V202,0.985723947
V133,V103,0.985671847
V167,V126,0.985562488
V103,V128,0.985503696
V126,V316,0.985476286
V280,V179,0.985230308
V127,V134,0.985069757
C10,C7,0.985061668
V178,V127,0.985028858
V127,V324,0.985017612
V213,V212,0.984942784
V133,V179,0.984847234
V307,V324,0.984823166
V306,V132,0.984624201
V333,V133,0.984486023
V216,V278,0.984444412
V295,V134,0.984247865
C14,C6,0.98420107
V255,V256,0.984082429
V333,V102,0.984005709
V251,V250,0.983994961
V333,V317,0.98398019
V317,V178,0.983935367
V213,V134,0.983906282
C12,C10,0.983816947
V179,V333,0.983767797
V294,V333,0.983708235
V134,V280,0.98370282
V232,V217,0.983680004
V332,V179,0.983678068
V211,V306,0.983567661
V318,V133,0.98353692
V231,V232,0.983525441
V318,V128,0.98344789
V177,V143,0.983419908
V213,V318,0.983361672
V294,V317,0.983119056
V217,V219,0.983100619
V308,V134,0.983081063
C8,C12,0.983027164
C8,C7,0.982983376
V179,V128,0.98280144
V143,V167,0.982570027
V212,V168,0.982552759
V308,V280,0.982475781
V316,V202,0.98245173
V133,V97,0.98240731
V177,V306,0.982362279
V132,V202,0.982357407
C6,C1,0.982237772
V167,V306,0.982205002
V266,V205,0.982005065
V95,V126,0.981997009
V179,V127,0.981954647
V318,V102,0.981877828
V213,V133,0.981854597
V145,V150,0.981799306
V213,V102,0.981598783
V164,V331,0.981498828
V50,V31,0.98145651
V103,V213,0.981408266
V211,V143,0.981365064
V164,V306,0.981316315
D2,D1,0.981311391
V126,V101,0.981180382
V204,V212,0.981081167
V295,V308,0.981041391
V178,V134,0.980995835
V323,V213,0.980911476
V213,V96,0.980864308
V204,V168,0.980744149
V126,V279,0.980691907
V164,V126,0.980661588
V96,V280,0.980623616
V133,V128,0.980590152
V306,V279,0.980462175
V179,V308,0.980282017
V318,V96,0.980276798
V178,V318,0.980261604
V236,V234,0.980189918
V332,V213,0.980182025
V295,V102,0.980134292
V295,V213,0.980117404
V202,V101,0.980095916
V126,V293,0.980069623
V322,V202,0.980008
V293,V202,0.979996911
V279,V202,0.979995346
V95,V202,0.979853408
V103,V168,0.979765107
V168,V134,0.979748008
V307,V178,0.979735362
V293,V306,0.979535154
V306,V95,0.979404307
V205,V269,0.97933401
V213,V127,0.979209634
V96,V295,0.979179357
