V58,addr2,0.877400432
V338,V338,1
TransactionID,Unnamed: 0,1
V97,V324,0.999966796
V95,V322,0.999965378
V323,V96,0.999964638
V324,V280,0.999921134
V279,V322,0.999903646
V322,V101,0.999699605
V293,V322,0.999673359
V95,V101,0.999577924
V279,V293,0.999564836
V329,V105,0.999356719
C7,C12,0.99935156
V167,V177,0.999338837
V324,V103,0.999215468
V295,V324,0.999215128
V214,V276,0.999186198
V101,V293,0.998976087
V323,V294,0.998873633
V323,V102,0.998867994
V279,V95,0.998811381
V132,V331,0.998809992
V106,V330,0.998780979
V97,V103,0.99877997
V322,V132,0.998759795
V280,V295,0.99863073
V293,V95,0.998532098
V101,V279,0.998526419
V316,V322,0.998494287
V134,V333,0.998399076
TransactionID,TransactionDT,0.998289646
Unnamed: 0,TransactionDT,0.998289646
V132,V101,0.998226272
V332,V133,0.998182203
V211,V177,0.998140035
V332,V317,0.998041769
V103,V134,0.998027257
V133,V323,0.998022075
V333,V324,0.998011278
V216,V278,0.997989542
V333,V318,0.997976854
V323,V332,0.997972017
V317,V323,0.997927781
V333,V97,0.997897049
V316,V331,0.997891288
V134,V324,0.997842828
V167,V211,0.997822549
V132,V95,0.997819254
V333,V103,0.997813638
V96,V332,0.997800128
V280,V333,0.997790589
V332,V102,0.997728057
V333,V295,0.997705557
V332,V294,0.997670473
V322,V331,0.997660717
V324,V318,0.997577256
V331,V95,0.997496016
V132,V316,0.997480399
V102,V96,0.997460049
V16,V15,0.997272127
V279,V331,0.99722994
V319,V276,0.997223649
V331,V101,0.997159208
V231,V322,0.997138466
V132,V293,0.997100104
V134,V323,0.997083684
V293,V331,0.996959715
V316,V293,0.996926591
V217,V231,0.996917577
V323,V318,0.996804673
V279,V132,0.996678206
V217,V322,0.99661189
V133,V102,0.996560276
V316,V279,0.996523045
V233,V322,0.996407118
V316,V101,0.996396948
V278,V215,0.996390209
V97,V134,0.996251889
V232,V233,0.996211857
C10,C8,0.996211213
V329,V298,0.996207569
V319,V214,0.996167783
V143,V164,0.996146095
V316,V95,0.995900265
V103,V323,0.995839588
V323,V295,0.995778321
V179,V213,0.995698102
V332,V134,0.995644052
V330,V299,0.995627426
V332,V318,0.995613887
C11,C1,0.995592913
V179,V168,0.99558818
V213,V168,0.995429992
V31,V32,0.995417835
V233,V231,0.995134891
V178,V213,0.994983917
V323,V333,0.99496637
V333,V332,0.994839717
V96,V333,0.994833911
V323,V280,0.994815304
V233,V217,0.994810993
V178,V179,0.994646086
V233,V324,0.994554652
V323,V97,0.994515881
V324,V323,0.994477022
V96,V324,0.994430832
V316,V211,0.994363648
V17,V18,0.994244891
V318,V295,0.994198465
V163,V161,0.994181674
V272,V270,0.994071326
V132,V211,0.99398352
V132,V177,0.993909926
V134,V102,0.993886388
V101,V177,0.993855858
V177,V316,0.993834034
V293,V177,0.993805888
V276,V321,0.993741951
C2,C1,0.993660271
V322,V177,0.993645838
V96,V133,0.993608649
V232,V219,0.993360923
V322,V167,0.993349548
V102,V103,0.993269538
V279,V177,0.993214094
V95,V177,0.993091145
C11,C2,0.993068938
V167,V132,0.993046578
V167,V101,0.993012264
V164,V132,0.99299416
V316,V167,0.992987852
V293,V167,0.992981721
V318,V280,0.992978176
V316,V164,0.992965186
V279,V167,0.992853499
V332,V103,0.992844777
V104,V328,0.99279639
V164,V331,0.992774252
V103,V96,0.992748344
V295,V332,0.992727191
V167,V95,0.992711908
V96,V134,0.992691703
V133,V134,0.992602816
V96,V97,0.992530388
V333,V102,0.992495545
V211,V331,0.992458039
V294,V333,0.992457447
V211,V101,0.992329629
V329,V296,0.992180364
V177,V331,0.992156377
V211,V293,0.992144564
V322,V232,0.992071935
V272,V271,0.991950919
V331,V167,0.991916792
V298,V296,0.991911587
V164,V101,0.991678256
V232,V324,0.991677102
V164,V293,0.991615977
V211,V322,0.991613549
V279,V211,0.991574929
V211,V95,0.991529685
V333,V133,0.991459942
V202,V306,0.991459228
V276,V320,0.991445235
V164,V322,0.9914156
V164,V95,0.991325687
V164,V279,0.991310731
V294,V324,0.991292614
V324,V102,0.991248327
V168,V178,0.99120287
V317,V333,0.991193929
V232,V217,0.99113727
V280,V332,0.991122779
V128,V127,0.990955973
V324,V332,0.990882065
V134,V318,0.990880208
V97,V332,0.990841473
V217,V324,0.990631949
V101,V143,0.990406523
V293,V143,0.990391466
V99,V326,0.990346209
V102,V97,0.990101859
V143,V279,0.990057051
V95,V143,0.990036116
V143,V322,0.989994082
C11,C6,0.989870702
